model,scenario,horizon_year,metric,point,boot_mean,ci_low,ci_high,boot_valid_n,observed_n,positive_n
step89_summary_augmented_modular_v4,basic_only,1,AUROC,0.6442371076517418,0.6422204306738906,0.5490068928128873,0.7323751022381202,1000,570,37
step89_summary_augmented_modular_v4,basic_only,1,AUPRC,0.123217948946706,0.13751005075133435,0.06883974671435542,0.2304862100247063,1000,570,37
step89_summary_augmented_modular_v4,basic_only,1,Brier,0.059766255349939054,0.05921534407317788,0.04463911963437472,0.07679068329724352,1000,570,37
step89_summary_augmented_modular_v4,basic_only,2,AUROC,0.6486305361305361,0.6501791399268775,0.5922319491599822,0.7061924030644864,1000,509,80
step89_summary_augmented_modular_v4,basic_only,2,AUPRC,0.2745666049882793,0.2844769808759938,0.20493164074995282,0.37667243721596266,1000,509,80
step89_summary_augmented_modular_v4,basic_only,2,Brier,0.12770704827362897,0.12802486786911177,0.10890715751441214,0.14829214745197636,1000,509,80
step89_summary_augmented_modular_v4,basic_only,3,AUROC,0.677412905483081,0.676721354728681,0.6268517543076256,0.7285554960331706,1000,459,117
step89_summary_augmented_modular_v4,basic_only,3,AUPRC,0.40006202276845004,0.40403588961541115,0.3182930903704789,0.49516457725430346,1000,459,117
step89_summary_augmented_modular_v4,basic_only,3,Brier,0.1782665829495682,0.17824865206127777,0.16150776310039527,0.19495541409344394,1000,459,117
step89_summary_augmented_modular_v4,basic_only,5,AUROC,0.6989115812645224,0.6998555895923301,0.6465926200057611,0.753301382560776,1000,369,148
step89_summary_augmented_modular_v4,basic_only,5,AUPRC,0.5839159674781098,0.58952862680204,0.5081941290527394,0.6635676212148689,1000,369,148
step89_summary_augmented_modular_v4,basic_only,5,Brier,0.22777091679985653,0.2276581853497528,0.2201838411247961,0.23515329630343362,1000,369,148
step89_summary_augmented_modular_v4,basic_plus_MMSE_CDRSB_FAQ,1,AUROC,0.9009178033568277,0.8998633014373272,0.8516952443802126,0.9378406405815164,1000,570,37
step89_summary_augmented_modular_v4,basic_plus_MMSE_CDRSB_FAQ,1,AUPRC,0.3207666737977614,0.3399483470671855,0.22050300679224552,0.47269023169434565,1000,570,37
step89_summary_augmented_modular_v4,basic_plus_MMSE_CDRSB_FAQ,1,Brier,0.04907788218958309,0.04923903164244312,0.038648728985374234,0.06098016535199544,1000,570,37
