scenario,horizon_year,observed_n,positive_n,event_rate,Brier,ECE_fixed_10_bins,MCE_fixed_10_bins,calibration_intercept_logistic,calibration_slope_logistic
basic_only,1,570,37,0.06491228070175438,0.059766255349939054,0.008885329344242146,0.031499999905307205,0.49490141047972036,1.2611966217495165
basic_only,2,509,80,0.15717092337917485,0.12770704827362897,0.009747353009964984,0.027420556833907067,0.41954676568798244,1.3127387404965787
basic_only,3,459,117,0.2549019607843137,0.1782665829495682,0.027012867929469005,0.09697805179039393,0.6078856411305225,1.837089510933494
basic_only,5,369,148,0.4010840108401084,0.22777091679985653,0.10697724394830548,0.2473637955929946,-0.39432938139461665,2.445230338977542
basic_plus_MMSE_CDRSB_FAQ,1,570,37,0.06491228070175438,0.04907788218958309,0.015356491114267637,0.08306655977696503,-0.10770598981936419,1.1418056158364385
basic_plus_MMSE_CDRSB_FAQ,2,509,80,0.15717092337917485,0.0896391978730799,0.023889845805521677,0.09255317859005252,-0.19062525095455887,0.9341885632139018
basic_plus_MMSE_CDRSB_FAQ,3,459,117,0.2549019607843137,0.10391693335939246,0.036412847198585244,0.1639779894152634,-0.1401877812431953,0.9022492448259861
basic_plus_MMSE_CDRSB_FAQ,5,369,148,0.4010840108401084,0.10528867521757836,0.07816805629056216,0.20747722794193596,-0.3270627231815316,1.3903221832241643
basic_plus_MMSE_only,1,570,37,0.06491228070175438,0.05371626321966056,0.024304024843347594,0.3137468109059522,0.604106055986953,1.4122281844600908
basic_plus_MMSE_only,2,509,80,0.15717092337917485,0.10954459422399739,0.021662042098099007,0.058018631634868256,-0.030080798213802086,1.0814545473167063
basic_plus_MMSE_only,3,459,117,0.2549019607843137,0.1445497548992787,0.04785546234237481,0.1613156359589496,-0.1596149982240078,1.0505595091475246
basic_plus_MMSE_only,5,369,148,0.4010840108401084,0.17197987879356044,0.1105778913023896,0.17590478101788493,-0.5087957384175,1.4326532406635908
full_all_modules,1,570,37,0.06491228070175438,0.04706166686692686,0.017890382789889966,0.17459305748964216,0.14281085820101092,1.2575636725419976
full_all_modules,2,509,80,0.15717092337917485,0.0852090451730946,0.027192551861590593,0.19422858047519184,-0.05235276796687253,1.0223823081787038
full_all_modules,3,459,117,0.2549019607843137,0.09894978150152034,0.04627974280720547,0.2129136183521319,-0.08765868638015803,0.925088817142161
full_all_modules,5,369,148,0.4010840108401084,0.10754717637463784,0.06153819385830433,0.22261480142520673,-0.37403457302719473,1.1518920865593485
no_ADAS13,1,570,37,0.06491228070175438,0.0491961683161354,0.016655761644725594,0.12974537571874933,-0.127045170410626,1.1288736951188063
no_ADAS13,2,509,80,0.15717092337917485,0.0893524368086725,0.017317672990090904,0.06006966961969901,-0.15990048517910238,0.9747295372090613
no_ADAS13,3,459,117,0.2549019607843137,0.10336190763543306,0.032858624026004986,0.1639092248985279,-0.14741244919310964,0.9268218087441931
no_ADAS13,5,369,148,0.4010840108401084,0.10566842339918284,0.08380523219624798,0.17779706228733028,-0.39392860151647857,1.3405533383432686
no_CDGLOBAL_CDRSB,1,570,37,0.06491228070175438,0.04780168224281083,0.026096723575417997,0.5773008619930474,0.5848902619568426,1.5168179169368525
no_CDGLOBAL_CDRSB,2,509,80,0.15717092337917485,0.08753634807885563,0.03335363887776476,0.12930179395824581,0.023993860648305512,1.1285141421016787
no_CDGLOBAL_CDRSB,3,459,117,0.2549019607843137,0.10492085579988525,0.052007982462200904,0.25275352544528645,-0.13070370725930044,0.9921688386878849
no_CDGLOBAL_CDRSB,5,369,148,0.4010840108401084,0.11779140634730091,0.07688169192626174,0.283829223751058,-0.5375336238888254,1.2776548242459338
no_FAQTOTAL,1,570,37,0.06491228070175438,0.047993537189309925,0.037689980266990095,0.30531248493810015,0.275303847787493,1.2739417037952834
no_FAQTOTAL,2,509,80,0.15717092337917485,0.0884672937213037,0.03217548950801821,0.1974185266349956,-0.010402599502414017,1.1065968786657479
no_FAQTOTAL,3,459,117,0.2549019607843137,0.10660502629212958,0.05725864437677074,0.3355833978177736,-0.18098282969556836,0.9737980833319128
no_FAQTOTAL,5,369,148,0.4010840108401084,0.1286363723401106,0.07769067277839274,0.2888374287660907,-0.5191973600714516,1.0057325327903888
no_MMSE,1,570,37,0.06491228070175438,0.048342083081454115,0.010950251948782096,0.07400776846069293,0.015051315988378574,1.1243737293484979
no_MMSE,2,509,80,0.15717092337917485,0.08642089588813137,0.026528408600661794,0.1213917992094663,0.04031815325127161,1.060057970767542
no_MMSE,3,459,117,0.2549019607843137,0.09848324214715434,0.04111756566989459,0.241168797008861,-0.015081583355903141,0.9920959067479931
no_MMSE,5,369,148,0.4010840108401084,0.10800797096127612,0.0654251800413464,0.255583307923682,-0.3455340179092002,1.1811048678551979
no_MMSE_ADAS13,1,570,37,0.06491228070175438,0.05219498171789953,0.014479008118916606,0.42891978140487347,-0.12130045247465197,1.0426911817109896
no_MMSE_ADAS13,2,509,80,0.15717092337917485,0.09639315732709375,0.014981329181422802,0.10022415423041756,0.07364961397456092,1.140354784360902
no_MMSE_ADAS13,3,459,117,0.2549019607843137,0.11752055236637009,0.038461965292312675,0.11173648996311597,-0.01217094565515938,1.1598715819643022
no_MMSE_ADAS13,5,369,148,0.4010840108401084,0.12751852144378428,0.1117409384743486,0.23047700070877838,-0.4377124502203385,1.5906366054363312
no_visit_process,1,570,37,0.06491228070175438,0.047845959757491445,0.014849750663325476,0.14167950287867997,0.11950289726682985,1.2505434064022365
no_visit_process,2,509,80,0.15717092337917485,0.08626940390113719,0.02789490761535315,0.16724002822627976,-0.0871063989641527,1.0133267017925918
no_visit_process,3,459,117,0.2549019607843137,0.09980610529827448,0.04263512881599245,0.32299482434306076,-0.10905748689881442,0.9205097940904265
no_visit_process,5,369,148,0.4010840108401084,0.10749534531191278,0.05014538356127175,0.2713709433456032,-0.40349470959967915,1.1392777640946374
visit_process_only,1,570,37,0.06491228070175438,0.058633469937397556,0.01800983953884967,0.03774693764167554,1.580459213744259,1.663508764362163
visit_process_only,2,509,80,0.15717092337917485,0.1274479757649552,0.022796448658013377,0.03444508910075662,0.5266945126016515,1.295594383421965
visit_process_only,3,459,117,0.2549019607843137,0.1789094150277301,0.03473781263327276,0.054557428981348646,0.5461299669219412,1.5260586050079892
visit_process_only,5,369,148,0.4010840108401084,0.23052448176347862,0.056896977225806514,0.12711121315592133,-0.13331044109862283,1.6973802913787623
