dataset,scenario,seq_group,risk_type,horizon,horizon_year,n_known,n_event,n_nonevent,event_rate,AUROC,AUPRC,Brier,mean_predicted_risk,median_predicted_risk
NACC_external,no_ADAS13,all_seq_len_ge_1,raw_sigmoid,1y,1,12052,1709,10343,0.1418021905077995,0.7331471148161083,0.297767354932675,0.1217252960040389,0.1267746215559284,0.0185807303430417
NACC_external,no_ADAS13,all_seq_len_ge_1,raw_sigmoid,2y,2,9331,2699,6632,0.2892508841496088,0.7399123552886272,0.5290217284394253,0.1916849617242,0.2029404085635166,0.0502926184064197
NACC_external,no_ADAS13,all_seq_len_ge_1,raw_sigmoid,3y,3,7614,3237,4377,0.4251379038613081,0.7395729735341783,0.6644705677359048,0.2413760330224282,0.2766628493994147,0.0901490735387457
NACC_external,no_ADAS13,all_seq_len_ge_1,raw_sigmoid,5y,5,5800,3727,2073,0.6425862068965518,0.7494522765840491,0.835033396936701,0.2860599778144731,0.4049695295927252,0.2633430060675366
NACC_external,no_ADAS13,seq_len_ge_2,raw_sigmoid,1y,1,3236,314,2922,0.0970333745364647,0.668928227328808,0.1950917072931724,0.0910066476555173,0.0247314594805619,0.0056800303510372
NACC_external,no_ADAS13,seq_len_ge_2,raw_sigmoid,2y,2,2506,551,1955,0.2198723064644852,0.6743043339011608,0.3749537889207522,0.1947124790205067,0.0481409996816766,0.0102715589244682
NACC_external,no_ADAS13,seq_len_ge_2,raw_sigmoid,3y,3,2037,695,1342,0.3411880216003927,0.6585757325585135,0.4967531257912148,0.2921341091050501,0.0685587999567988,0.0143686274198275
NACC_external,no_ADAS13,seq_len_ge_2,raw_sigmoid,5y,5,1474,850,624,0.576662143826323,0.682068250377074,0.7275883376710774,0.4435852915586281,0.1291530301886481,0.0377378056693169
NACC_external,no_ADAS13,seq_len_ge_3,raw_sigmoid,1y,1,2170,229,1941,0.1055299539170507,0.6645901248399848,0.2418022545233563,0.09806790803977,0.0169446263753144,0.0055205455662708
NACC_external,no_ADAS13,seq_len_ge_3,raw_sigmoid,2y,2,1673,400,1273,0.2390914524805738,0.6674194815396701,0.3995667464598691,0.2154769782329486,0.0356691148883346,0.0095604829364916
NACC_external,no_ADAS13,seq_len_ge_3,raw_sigmoid,3y,3,1348,512,836,0.3798219584569733,0.6616584741327751,0.5474553642448315,0.3328060446908393,0.0513498348664365,0.013672044259543
NACC_external,no_ADAS13,seq_len_ge_3,raw_sigmoid,5y,5,992,618,374,0.6229838709677419,0.7028581070557084,0.7804305998856589,0.4935928987732944,0.1084978285189789,0.0360432039295586
NACC_external,no_ADAS13,seq_len_ge_4,raw_sigmoid,1y,1,1589,175,1414,0.1101321585903083,0.6406385128308749,0.2069032918365705,0.104663928355846,0.0145095194027835,0.0053302279988494
NACC_external,no_ADAS13,seq_len_ge_4,raw_sigmoid,2y,2,1209,304,905,0.2514474772539288,0.6551650189008432,0.385729491618214,0.2327675285407892,0.0298400019208866,0.0090538266274225
NACC_external,no_ADAS13,seq_len_ge_4,raw_sigmoid,3y,3,961,388,573,0.4037460978147763,0.6498938486173333,0.5511756988701654,0.363167674179714,0.0426724044457885,0.012981770233478
NACC_external,no_ADAS13,seq_len_ge_4,raw_sigmoid,5y,5,714,467,247,0.65406162464986,0.6986449817510338,0.7930239881433268,0.534161571179735,0.0956426540429289,0.0355067853555821
