horizon,horizon_year,method,delta_AUROC_vs_raw,delta_AUPRC_vs_raw,delta_Brier_vs_raw,delta_abs_calibration_gap_vs_raw,raw_Brier,method_Brier,raw_gap,method_gap
1y,1,nacc_platt_raw,-0.0002471121175625,-0.000653494079516,-0.0107591086504559,-0.014967229037653,0.1217252960040389,0.110966187353583,-0.0150275689518711,-6.033991421811047e-05
1y,1,nacc_isotonic_raw,-0.0034108883324215,-0.0083256398199382,-0.0108019945804625,-0.0148766442877533,0.1217252960040389,0.1109233014235763,-0.0150275689518711,0.0001509246641178
1y,1,adni_scenario_platt,0.0,0.0,-0.0028180062832343,0.0623483099261566,0.1217252960040389,0.1189072897208046,-0.0150275689518711,-0.0773758788780278
2y,2,nacc_platt_raw,-0.000204862990403,-0.0002325839383495,-0.0170007168499763,-0.0862791341716565,0.1916849617242,0.1746842448742237,-0.0863104755860921,3.134141443567051e-05
2y,2,nacc_isotonic_raw,-0.003661444103633,-0.0112558549916559,-0.0167581385974201,-0.0860692971068829,0.1916849617242,0.1749268231267799,-0.0863104755860921,0.0002411784792092
2y,2,adni_scenario_platt,0.0,0.0,0.0123535330257749,0.0738219678666371,0.1916849617242,0.2040384947499749,-0.0863104755860921,-0.1601324434527293
3y,3,nacc_platt_raw,-0.0002623453163104,-0.0004999880596952,-0.0384984819268924,-0.1484354449054609,0.2413760330224282,0.2028775510955358,-0.1484750544618934,3.960955643245168e-05
3y,3,nacc_isotonic_raw,-0.0040743279262813,-0.0105136618962916,-0.0385413042984262,-0.1481752209733547,0.2413760330224282,0.2028347287240019,-0.1484750544618934,0.0002998334885386
3y,3,adni_scenario_platt,0.0,0.0,0.0124883945244927,0.0508168270792354,0.2413760330224282,0.2538644275469209,-0.1484750544618934,-0.1992918815411288
5y,5,nacc_platt_raw,-0.0011366708900294,-0.0017160697172444,-0.0947732410887464,-0.2375350666240601,0.2860599778144731,0.1912867367257266,-0.2376166773038265,8.161067976641956e-05
5y,5,nacc_isotonic_raw,-0.0039558916815546,-0.0065191778999567,-0.0972397048353533,-0.2376097015751887,0.2860599778144731,0.1888202729791198,-0.2376166773038265,6.975728637836909e-06
5y,5,adni_scenario_platt,0.0,0.0,-0.0187359662151287,-0.0059663013418203,0.2860599778144731,0.2673240115993444,-0.2376166773038265,-0.2316503759620062
